Date;SWDA.L;XLK;IAU;BIL
2015-08-18;0,268369;0,287096;0,211853;0,232682
2015-08-19;0,265679;0,285897;0,215123;0,233301
2015-08-20;0,264183;0,280667;0,220434;0,234717
2015-08-21;0,261854;0,274360;0,225238;0,238548
2015-08-24;0,255449;0,270230;0,229718;0,244603
2015-08-25;0,261796;0,267466;0,226709;0,244028
2015-08-26;0,257615;0,278595;0,221752;0,242038
2015-08-27;0,264028;0,280335;0,217669;0,237968
2015-08-28;0,264592;0,279680;0,218731;0,236997
2015-09-01;0,261684;0,273032;0,224057;0,241226
2015-09-02;0,260876;0,278003;0,221344;0,239776
2015-09-03;0,265232;0,277005;0,218975;0,238788
2015-09-04;0,262875;0,275631;0,220254;0,241239
2015-09-08;0,261555;0,280837;0,218505;0,239103
2015-09-09;0,265096;0,278276;0,216557;0,240071
2015-09-10;0,261245;0,281337;0,217170;0,240249
2015-09-11;0,261087;0,282275;0,216668;0,239970
2015-09-14;0,261590;0,281574;0,216868;0,239968
2015-09-15;0,262782;0,283756;0,214763;0,238699
2015-09-16;0,262475;0,283517;0,216497;0,237511
2015-09-17;0,262558;0,281296;0,218877;0,237268
2015-09-18;0,259548;0,279631;0,221854;0,238967
2015-09-21;0,260293;0,281594;0,219796;0,238317
2015-09-22;0,258399;0,279816;0,220924;0,240861
2015-09-23;0,260138;0,279387;0,220639;0,239836
2015-09-24;0,255950;0,279289;0,225009;0,239752
2015-09-25;0,261794;0,277168;0,222688;0,238350
2015-09-28;0,258971;0,275260;0,223469;0,242299
2015-09-29;0,258850;0,274851;0,223297;0,243001
2015-09-30;0,261184;0,278324;0,219270;0,241222
2015-10-01;0,261126;0,278567;0,218943;0,241363
2015-10-02;0,258616;0,280126;0,221935;0,239323
2015-10-05;0,263998;0,281802;0,218151;0,236049
2015-10-06;0,263899;0,281141;0,219753;0,235207
2015-10-07;0,262307;0,282708;0,219559;0,235426
2015-10-08;0,263723;0,283349;0,218054;0,234874
2015-10-09;0,264908;0,282361;0,219692;0,233039
2015-10-12;0,263546;0,282716;0,220686;0,233052
2015-10-13;0,264171;0,281723;0,221369;0,232737
2015-10-14;0,259222;0,281775;0,225772;0,233231
2015-10-15;0,259668;0,284206;0,223859;0,232266
2015-10-16;0,261781;0,284330;0,221965;0,231924
2015-10-19;0,261190;0,285677;0,220995;0,232138
2015-10-20;0,261264;0,284531;0,222444;0,231761
2015-10-21;0,262274;0,283615;0,221271;0,232840
2015-10-22;0,262480;0,287437;0,219309;0,230775
2015-10-23;0,263339;0,292092;0,216425;0,228145
2015-10-26;0,263524;0,291430;0,216582;0,228464
2015-10-27;0,263100;0,290358;0,217607;0,228935
2015-10-28;0,264259;0,293204;0,214770;0,227768
2015-10-29;0,264869;0,293400;0,213188;0,228543
2015-10-30;0,263701;0,293006;0,213540;0,229752
2015-11-02;0,264117;0,294952;0,211701;0,229230
2015-11-03;0,265633;0,296565;0,208466;0,229336
2015-11-04;0,266143;0,297361;0,206853;0,229643
2015-11-05;0,267774;0,296417;0,206222;0,229587
2015-11-06;0,269382;0,297541;0,203398;0,229678
2015-11-09;0,267715;0,296242;0,205078;0,230965
2015-11-10;0,268517;0,295007;0,204995;0,231481
2015-11-11;0,268466;0,295084;0,204751;0,231698
2015-11-12;0,267416;0,294045;0,205628;0,232912
2015-11-13;0,266553;0,291075;0,207238;0,235134
2015-11-16;0,265048;0,294255;0,206534;0,234162
2015-11-17;0,269056;0,293738;0,203561;0,233645
2015-11-18;0,268135;0,296829;0,202446;0,232590
2015-11-19;0,267829;0,296707;0,203978;0,231486
2015-11-20;0,269449;0,297747;0,202239;0,230565
2015-11-23;0,270810;0,296847;0,201065;0,231278
2015-11-24;0,269956;0,296620;0,202425;0,230999
2015-11-25;0,271062;0,296085;0,201534;0,231319
2015-11-27;0,272230;0,296863;0,199457;0,231449
2015-11-30;0,271429;0,296913;0,200433;0,231225
2015-12-01;0,271387;0,298267;0,200160;0,230186
2015-12-02;0,274412;0,297188;0,197588;0,230811
2015-12-03;0,271455;0,295212;0,201001;0,232332
2015-12-04;0,267287;0,299290;0,203537;0,229886
2015-12-07;0,268286;0,299197;0,201563;0,230954
2015-12-08;0,268181;0,298662;0,202093;0,231064
2015-12-09;0,267544;0,296486;0,203219;0,232750
2015-12-10;0,266448;0,297395;0,203282;0,232874
2015-12-11;0,264322;0,294196;0,206165;0,235318
2015-12-14;0,262778;0,297132;0,204243;0,235848
2015-12-15;0,267448;0,296284;0,202175;0,234093
2015-12-16;0,266903;0,297838;0,203049;0,232209
2015-12-17;0,271391;0,295001;0,199991;0,233618
2015-12-18;0,269692;0,291117;0,204037;0,235153
2015-12-21;0,267963;0,292738;0,205274;0,234025
2015-12-22;0,269279;0,293880;0,203602;0,233240
2015-12-23;0,271351;0,294748;0,201918;0,231983
2015-12-24;0,270754;0,294335;0,203096;0,231816
2015-12-29;0,273369;0,296264;0,200066;0,230302
2015-12-30;0,273423;0,295289;0,199739;0,231550
2015-12-31;0,273470;0,292815;0,200886;0,232829
2016-01-04;0,269352;0,290957;0,205222;0,234468
2016-01-05;0,271000;0,289689;0,205256;0,234055
2016-01-06;0,269933;0,286661;0,209008;0,234398
2016-01-07;0,268867;0,280695;0,213880;0,236558
2016-01-08;0,267405;0,280340;0,214110;0,238145
2016-01-11;0,265779;0,282781;0,212770;0,238670
2016-01-12;0,267678;0,284471;0,210525;0,237326
2016-01-13;0,269561;0,278650;0,212934;0,238854
2016-01-14;0,267292;0,284177;0,209505;0,239026
2016-01-15;0,266524;0,278586;0,213776;0,241114
2016-01-19;0,269832;0,277562;0,212571;0,240036
